"","Site","Variable","med","low","high"
"BRU","BRU","Lexp.mean",1.9,1.7,2.2
"CHA","CHA","Lexp.mean",2,1.8,2.3
"VIL","VIL","Lexp.mean",1.9,1.7,2.1
"LAU","LAU","Lexp.mean",2,1.7,2.4
"GAL","GAL","Lexp.mean",4.2,3.6,5.1
"PIC","PIC","Lexp.mean",1.8,1.5,2.3
