"","mu","e","cc","rho"
"BRU",75.0050962591884,3.01950029968409,21.1662100094091,0.809193431718401
"CHA",78.9466550764309,2.63530550133267,16.8493250485068,1.56871437372967
"VIL",80.4879200449897,1.99881766173274,11.0809512810101,6.43231101226741
"LAU",60.6580357208644,1.81667933018173,24.1020995856015,13.4231853633523
"GAL",91.0917977786936,2.45009889152279,6.01253673467144,0.445566595112184
"PIC",78.3055415485707,1.37444898770436,15.5138515936561,4.80615787006882
