"","S","G-","G=","G+","F0","F1","F2"
"BRU",31.5796820286001,2.04014965796368,3.2549244061,48.977585927288,5.10068545969004,3.97567082563207,5.0713016947261
"CHA",23.9333664102537,3.55714411579111,4.13551787941983,65.6004816999467,0.784762436004415,1.07038234768321,0.918345110901069
"VIL",32.9363115786847,2.40736892000093,11.8766011475576,38.7217979341048,7.09600672630964,6.75319346013282,0.208720233209479
"LAU",40.3893055771371,1.76133920414882,9.71883584356264,29.1859158019198,13.2093598002059,5.47302029333579,0.262223479690012
"GAL",70.7402019914251,1.52067548831512,7.12609871531081,16.0099625932945,1.62814825774634,2.91164159937409,0.063271354534082
"PIC",51.6751871693671,1.57409621416037,10.1214828934652,26.904812930143,3.12618146948242,6.22200554831386,0.376233775068011
