"","surv_Median","surv_low","surv_high","Predictor"
"1",0.51,0.32,0.76,"(Intercept)"
"2",-0.2,-0.63,0.27,"Axis1"
"3",-0.42,-0.9,-0.01,"Axis2"
"4",0.79,0.48,1.08,"Nb_Tot.x"
"5",-0.56,-0.88,-0.3,"Nb_Tot.x.sq"
"6",-3.23,-4.85,0.34,"T.mean_m"
"7",3.09,0.04,4.79,"T.mean_m.sq"
"8",-0.43,-1.01,0.02,"T.range_m"
