Species	Species_id	Braun-Blanquet	Site	Quadrat	Id
Dactylis glomerata	Dactylis glomerata	r	VIL	2	VIL-2
Arabis alpina	Arabis alpina	+	VIL	3	VIL-3
Silene vulgaris	Silene vulgaris	2	VIL	3	VIL-3
Geranium rivulare	Geranium rivulare	2	VIL	3	VIL-3
Poa vivipara	Poa vivipara	2	VIL	3	VIL-3
Valeriana montana	Valeriana montana	1	VIL	3	VIL-3
Alchemilla alpina	Alchemilla alpina	2	VIL	3	VIL-3
Adenostyles glabra	Adenostyles glabra	1	VIL	3	VIL-3
Senecio doronicum	Senecio doronicum	+	VIL	3	VIL-3
Carduus defloratus	Carduus defloratus	1	VIL	3	VIL-3
Trifolium repens	Trifolium repens	r	VIL	3	VIL-3
Galium mollega	Galium mollega	1	VIL	3	VIL-3
Lotus corniculatus	Lotus corniculatus	+	VIL	3	VIL-3
Helictotrichon pratense / Helictotrichon sedenense	Helictotrichon pratense	2	VIL	3	VIL-3
Dactylis glomerata	Dactylis glomerata	2	VIL	3	VIL-3
Campanula romboidalis	Campanula romboidalis	+	LAU	1	LAU-1
Epilobium palustre	Epilobium palustre	1	LAU	1	LAU-1
Arabis alpina	Arabis alpina	1	LAU	1	LAU-1
Alchemilla spp	Alchemilla spp	1	LAU	1	LAU-1
Adenostyles alliariae	Adenostyles alliariae	1	LAU	1	LAU-1
Imperatoria ostruthium	Imperatoria ostruthium	r	LAU	1	LAU-1
Geranium spp	Geranium spp	r	LAU	1	LAU-1
Arabis alpina	Arabis alpina	r	LAU	2	LAU-2
Adenostyles alliariae	Adenostyles alliariae	1	LAU	2	LAU-2
Epilobium palustre	Epilobium palustre	1	LAU	2	LAU-2
Imperatoria ostruthium	Imperatoria ostruthium	r	LAU	2	LAU-2
Saxifraga isoides	Saxifraga isoides	1	LAU	2	LAU-2
Arabis alpina	Arabis alpina	+	LAU	3	LAU-3
Epilobium palustre	Epilobium palustre	+	LAU	3	LAU-3
Imperatoria ostruthium	Imperatoria ostruthium	2	LAU	3	LAU-3
Hyeracium spp	Hyeracium spp	r	LAU	3	LAU-3
Ranunculus aduncus	Ranunculus aduncus	+	LAU	3	LAU-3
Rumex aerifolius	Rumex aerifolius	+	LAU	3	LAU-3
Arabis alpina	Arabis alpina	1	GAL	1	GAL-1
Saxifraga oppositifolia	Saxifraga oppositifolia	+	GAL	1	GAL-1
Poa alpina	Poa alpina	+	GAL	1	GAL-1
Rumex acetosella	Rumex acetosella	1	GAL	1	GAL-1
Arabis alpina	Arabis alpina	+	GAL	2	GAL-2
Rumex acetosella	Rumex acetosella	1	GAL	2	GAL-2
Saxifraga oppositifolia	Saxifraga oppositifolia	1	GAL	2	GAL-2
Poa alpina	Poa alpina	1	GAL	2	GAL-2
Sempervivum montanum	Sempervivum montanum	r	GAL	2	GAL-2
Pritzelago alpina	Pritzelago alpina	+	GAL	2	GAL-2
Doronicum grandiflorum	Doronicum grandiflorum	+	GAL	2	GAL-2
Festuca spp	Festuca spp	r	GAL	2	GAL-2
Myosotis alpestris	Myosotis alpestris	r	GAL	2	GAL-2
Polygonum viviparum	Polygonum viviparum	+	GAL	2	GAL-2
