Pop,Quad,Var,formula,R2,pval,df,df.res
LAU,1,MaxTemp,~ mtemp_30cm_1 + max_2m_1 + max_2m_2 + min_Sol_1 + min_30cm_1 + min_2m_1 + min_Sol_2 + min_2m_2,0.6256401905150232,5.403171703513037e-26,9,138
LAU,1,MeanTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_2m_2 + min_Sol_1 + min_30cm_1 + min_2m_1 + min_Sol_2 + min_30cm_2,0.900667519999809,5.413816294718828e-59,15,132
LAU,1,MinTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_2m_2 + min_2m_1 + min_30cm_2 + min_2m_2,0.8252636442711008,1.4659074443011189e-46,11,136
LAU,2,MaxTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + max_Sol_1 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_30cm_2 + min_30cm_1 + min_2m_1 + min_Sol_2 + min_2m_2,0.8546575449021384,4.603281151258615e-59,15,159
LAU,2,MeanTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + max_Sol_1 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_2m_2 + min_30cm_1 + min_2m_1 + min_Sol_2 + min_30cm_2,0.9092624072627692,3.5978605311577613e-75,15,159
LAU,2,MinTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + max_Sol_1 + max_30cm_2 + max_2m_2 + min_30cm_1 + min_30cm_2,0.8166404790347006,9.138234709758449e-56,10,164
LAU,3,MaxTemp,~ mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_2m_2 + min_30cm_1 + min_2m_1,0.8758419329775067,8.670650714456807e-55,11,132
LAU,3,MeanTemp,~ mtemp_Sol_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_1 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_2m_2 + min_30cm_1 + min_2m_1,0.917944572085403,1.752277978220433e-65,12,131
LAU,3,MinTemp,~ mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_1 + max_2m_1 + max_Sol_2 + max_2m_2 + min_30cm_1 + min_Sol_2,0.8612567033356098,1.1534531903413554e-50,12,131
PIC,1,MaxTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_30cm_1 + max_2m_1 + max_30cm_2 + max_2m_2 + min_30cm_1 + min_2m_1,0.8122906613187095,1.3695526500720224e-64,11,193
PIC,1,MeanTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_30cm_2 + min_30cm_1 + min_2m_1,0.8744366266389237,2.5820893414884224e-81,11,193
PIC,1,MinTemp,~ mtemp_Sol_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_1 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_2m_2 + min_Sol_1 + min_2m_1 + min_Sol_2,0.8107295972811249,2.505108282243353e-62,13,191
PIC,2,MaxTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_1 + max_2m_1 + max_30cm_2 + min_30cm_1 + min_2m_1 + min_2m_2,0.8680601771457289,5.793297092180654e-45,11,113
PIC,2,MeanTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_30cm_1 + max_2m_1 + max_30cm_2 + min_Sol_1 + min_30cm_1 + min_2m_1 + min_Sol_2 + min_30cm_2,0.9245324111912866,2.287846938655001e-54,15,109
