Pop,Quad,Year,AvgDTemp,AvgDTempSE,AvgMinTemp,AvgMinTempSE,AvgMaxTemp,AvgMaxTempSE,AvgAmp,AvgAmpSE,NbFreeze
BRU,1,2008,16.77549037172744,0.37463902560994405,11.348014125197356,0.5522524852718715,29.949269876792513,1.5510393084427605,18.601255751595158,1.6464221037824884,0
BRU,1,2009,15.244110215053764,0,9.875774193548388,0,25.259967741935483,0,15.384193548387097,0,0
BRU,1,2010,15.609759792626729,0,11.268870967741936,0,21.69558064516129,0,10.426709677419355,0,0
BRU,1,2011,13.065953645224827,0.16645205715050754,9.190818814202217,0.20354615222846106,18.78883223497123,0.5302202625777629,9.598013420769014,0.5679476762299883,0
BRU,1,2012,14.20914400921659,0,10.192677419354839,0,19.95883870967742,0,9.76616129032258,0,0
BRU,1,2013,14.923078307417548,0.1301308686282414,11.413596054592947,0.15494971906823368,20.01531357787243,0.39938308476569323,8.601717523279483,0.4283879828336521,0
BRU,1,2014,13.18754435483871,0,10.703,0,16.667290322580644,0,5.964290322580645,0,0
BRU,2,2008,17.479421358895518,0.5828178313149399,11.369166983303018,0.6942661007988925,28.64139680883709,1.23786711624912,17.272229825534072,1.4192675632908016,0
BRU,2,2009,15.49578787878788,0,10.136967741935484,0,23.70190322580645,0,13.564935483870968,0,0
BRU,2,2010,15.508290322580645,0,11.204096774193548,0,21.00761290322581,0,9.803516129032259,0,0
BRU,2,2011,13.054842736444899,0.2225788884170441,9.1350962271056,0.2142249833201775,18.533293600679254,0.40411190446147277,9.398197373573652,0.45738252568939364,0
BRU,2,2012,14.20914400921659,0,10.192677419354839,0,19.95883870967742,0,9.76616129032258,0,0
BRU,2,2013,14.939085341882985,0.16955608315518697,11.314121546929295,0.14751101040406944,20.065563581134047,0.32754235248690844,8.751442034204754,0.3592262391071783,0
BRU,2,2014,12.787624423963134,0,10.023129032258064,0,16.58164516129032,0,6.558516129032258,0,0
CHA,1,2008,16.466910488308844,0.7054818412713562,8.491852574025858,0.7272799725004981,30.413594595468965,1.6961783110194795,21.92174202144311,1.8455235087024005,0
CHA,1,2009,18.070447947214078,0,9.332548387096773,0,29.389806451612902,0,20.05725806451613,0,0
CHA,1,2010,17.327230414746545,0,10.346548387096774,0,27.02741935483871,0,16.680870967741935,0,0
CHA,1,2011,13.022018538467313,0.32575440320684723,6.497411327449934,0.39266516882020913,21.998225671703818,0.8008043712256495,15.50081434425388,0.8918932535784263,0
CHA,1,2012,15.239119819732203,0.29148222475333235,7.853897656746942,0.4157923972032271,25.639897520041544,0.8184705746790619,17.785999863294602,0.9180290840640507,0
CHA,1,2013,16.424838295855004,0.19438912457062327,9.692496877817561,0.28265197460282276,26.33366051651477,0.4935308244882253,16.641163638697208,0.568739671085904,0
CHA,1,2014,13.023393433179724,0,8.081935483870968,0,19.664387096774195,0,11.582451612903226,0,0
CHA,2,2008,16.670671826278117,0.5776226558944735,8.61900693504819,0.34043233428824626,27.036249793362817,1.590592919365268,18.417242858314626,1.626616122311552,0
CHA,2,2009,18.239324291300097,0,10.587387096774194,0,27.489516129032257,0,16.902129032258063,0,0
CHA,2,2010,18.107942396313366,0,11.721129032258064,0,26.601451612903226,0,14.880322580645162,0,0
CHA,2,2011,13.283474109612216,0.3496297751189316,7.503348390147672,0.35429340125875136,21.140077529250895,0.8074987263422764,13.371157309130155,0.817892831165505,0
CHA,2,2012,15.344907072005165,0.34130316142934325,8.903232946050524,0.3908453045115097,24.513201962070585,0.683485747343368,15.609969016020061,0.787345425388512,0
CHA,2,2013,16.761868925323945,0.21324895662342103,10.095971753900194,0.2635307435837105,26.31099864630139,0.5057533361252884,16.215026892401195,0.5702936873363077,0
CHA,2,2014,14.09784331797235,0,9.381677419354839,0,20.90516129032258,0,11.523483870967741,0,0
CHA,3,2008,15.315294444808977,0.3406744833293352,7.301853116847891,0.26379464300318234,27.218395157227864,1.1494876519142685,19.916542040379973,1.1793682527440505,0
CHA,3,2009,16.600826001955035,0,7.769774193548387,0,27.41674193548387,0,19.646967741935484,0,0
CHA,3,2010,17.207919354838708,0,9.97258064516129,0,26.448806451612903,0,16.476225806451612,0,0
CHA,3,2011,12.873351744408895,0.40846937839351805,6.399321472937614,0.30800310598021796,24.115895703510304,1.2829683092359276,17.440816784856104,1.272775113638689,0
CHA,3,2012,15.340688210731342,0.43132826883910436,8.122525487727048,0.3208664629040871,27.657064415878914,1.35976044870746,19.534538928151864,1.3971054952600008,0
CHA,3,2013,16.745529978018,0.25673963093632024,9.62745688300357,0.21902020901762956,27.883803084488758,0.7245773288074133,18.256346201485186,0.7569558490293952,0
CHA,3,2014,14.481633728653177,0.4937081045506813,8.682201599039935,0.33423660413418643,25.20741215985254,1.357735449960021,16.525210560812607,1.3982702384093333,0
GAL,1,2008,7.377867887265089,0.2582518031270601,3.729227210184934,0.38653066348875814,11.76393340219128,0.5109472768102361,8.034706192006345,0.6406817255836595,NA
GAL,1,2009,8.137081133919844,0,4.306516129032258,0,12.02774193548387,0,7.721225806451613,0,6
GAL,1,2010,8.79458064516129,0,5.505419354838709,0,12.432258064516128,0,6.926838709677419,0,1
GAL,1,2011,5.276484447004608,0,2.1676774193548387,0,8.646161290322581,0,6.478483870967742,0,6
GAL,1,2012,7.478277264525613,0.09294105187812376,4.306363359777651,0.12409353668124652,10.82441601729654,0.15905860544462874,6.51805265751889,0.20173954944940753,1
GAL,1,2013,8.365108294930875,0,5.2949032258064515,0,12.35883870967742,0,7.063935483870968,0,0
